Disease,Pathogens,Disease_Scientific_Name,Vaccination,Lethality,Transmission_Medium,Minimum_Incubation,Maximum_Incubation,Host_for_Parasite,Source,Age_Group,Symptoms
Chikungunya,Virus,Chikungunya,0,Normal,mosquito bite,3,7,"human, mosquito",mosquito,all,"Fever, joint pain, headache, muscle pain, joint swelling, rash"
Cholera,Bacteria,Vibrio Cholerea,0,Brutal,"contaminated water, contaminated food, person to person stools of infected person",1,5,"water, stools, food",Human,all,"acute watery diarrhoea, severe dehydration"
Coccidioidomycosis,Fungus,Coccidioides,0,Normal,"contact with contaminated surfaces, contact with dust containing fungus",7,21,"dust, soil",soil,all,"Fatigue (tiredness), Cough, Fever, Shortness of breath, Headache, Night sweats, Muscle aches or joint pain, Rash on upper body legs "
Creutzfeldt-Jakob disease,prion,prion,0,Brutal,contact with patient care equipment,4015,4380,spinal fluid of infected,human,older adults,"rapidly progressive dementia, muscle coordination, personality changes (including impaired memory, judgment, and thinking), impaired vision"
Crimean-Congo haemorrhagic fever,Virus,Nairovirus,0,Brutal,"person to person blood bodily fluids, tick bite, infected livestock, livestock animal blood body fluids, contaminated animal products",3,6,"ticks, livestock","zootonic, ticks",all,"fever, myalgia, (muscle ache), dizziness, neck pain and stiffness, backache, headache, sore eyes and photophobia (sensitivity to light)."
Dengue,Virus,DENV,1,Normal,mosquito bite,8,12,mosquito,mosquito,all,"high fever (40°C/104°F), severe headache, pain behind the eyes, muscle and joint pains, nausea, vomiting, swollen glands, rash. "
Dengue,Virus,DENV-haemorrhagic fever,1,Brutal,mosquito bite,8,12,mosquito,mosquito,all,"bleeding under the skin, frequent vomiting, abdominal pain"
Diphtheria,Bacteria,Corynebacterium diphtheriae bacterium.,1,Brutal,person to person cough sneeze aerosol,1,10,human,human,children,"Weakness, Sore throat, Fever, Swollen glands in the neck, the poison destroys healthy tissues in the respiratory system."
Ebola,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2,21,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
Elizabethkingia,Bacteria,Elizabethkingia,0,Brutal,contaminated water,8,39,"river, soil, water bodies",water bodies,children,"meningitis in newborn babies, meningitis of bloodstream, respiratory infections"
Encephalitis,Virus,herpes,1,Brutal,viral infection,2,12,various,various,all,"Fever, headache, vomiting, stiff neck, lethargy (exhaustion), fever of 103°F (39.4°C) or higher, confusion, drowsiness, hallucinations, slower movements, coma, seizures, irritability, sensitivity to light, unconsciousness"
Enterohaemorrhagic,Bacteria,Enterohaemorrhagic escherischia coli (EHEC),0,Brutal,"contaminated food, contaminated water, EHEC is found in intestine of animals",3,4,livestock,zootonic,all,"Abdominal cramps, Severe bloody diarrhea, Non-bloody diarrhea, Little to no fever, Fatigue, Nausea, Hemolytic uremic syndrome (HUS), a serious complication that can cause symptoms of decreased urination, extreme fatigue, pale skin, anemia"
Enterovirus,Virus,Enterovirus,1,Normal,"person to person blood bodily fluids, person to person stools of infected person",3,10,human,human,all," fever, mild respiratory symptoms, flu-like illness with fever and muscle aches, fever with a rash, gastrointestinal symptoms."
Gonococcal infection,Bacteria,Gonorrhea,0,Brutal,person to person sexual contact,2,5,human,human,all,"Painful urination, Pus-like discharge from the tip of the penis, Pain or swelling in one testicle, Increased vaginal discharge, Painful urination, Vaginal bleeding between periods, such as after vaginal intercourse, Abdominal or pelvic pain"
Guillain-Barre,"Virus, Bacteria","varies, Zika",1,Brutal,mosquito bite,2,14,mosquito,zootonic,all,"weakness or tingling sensations that start in the legs, and can spread to the arms and face, paralysis of the legs, arms, or muscles in the face, ability to speak and swallow may become affected in severe cases of Guillain-Barré syndrome"
Haemorrhagic fever syndrome,Virus,"Arenaviridae, Bunyaviridae, Filoviridae, and Flaviviridae",0,Brutal,"mosquito bite, tick bite",5,6,"mosquito, ticks, livestock",zootonic,all,"overall vascular system is damaged, the body’s ability to regulate itself is impaired, hemorrhage (bleeding)"
Haemorrhagic fever with renal syndrome,Virus,"Haantan, Puumala, Dobrava, Seoul, Saaremaa, hanta",0,Normal,rodent contamination,14,21,rodents,rodents,all,"intense headaches, back and abdominal pain, fever, chills, nausea,  blurred vision, flushing of the face, inflammation or redness of the eyes, or a rash, low blood pressure, acute shock, vascular leakage, and acute kidney failure"
Hantavirus pulmonary syndrome,Virus,Hantavirus,0,Normal,rodent contamination,14,21,rodents,rodents,all,"fatigue, fever and muscle aches, especially in the large muscle groups—thighs, hips, back, and sometimes shoulders"
Hepatitis,Virus,"Hepatitis A, Hepatitis B, HepatitisC",1,Brutal,"person to person stools of infected person, person to person blood bodily fluids",15,45,human,human,all,"fever, fatigue, loss of appetite, nausea, vomiting, abdominal pain, dark urine, light-colored stools, joint pain, jaundice."
HIV Infection,Virus,HIV,0,Brutal,"person to person sexual contact, person to person-blood-body fluids",30,180,human,human,all,"Flu-like symptoms include fever, chills, rash, night sweats, muscle aches, sore throat, fatigue, swollen lymph nodes, or mouth ulcers. "
Influenza,Virus,Influenza,1,Normal,"Person to person-blood-bodily fluids, person to person cough sneeze aerosol",1,2,human,human,all,"respiratory system: nose, throat and lungs"
Swine flu,Virus,H1N1,0,"Normal, Brutal","Person to person-blood-bodily fluids, person to person cough sneeze aerosol",6,12,"pigs, birds, humans",zootonic,all,"Fever (but not always), Chills, Cough, Sore throat, Runny or stuffy nose, Watery red eyes, Body aches, Headache Fatigue, Diarrhea, Nausea and vomiting "
Japanese encephalitis,Virus,Japanese encephalitis,1,"Normal, Brutal",mosquito bite,4,14,mosquito,"zootonic, birds",all,"mild (fever and headache), without apparent symptoms, 1 in 250 infections results in severe clinical illness. Severe disease is characterized by rapid onset of high fever, headache, neck stiffness, disorientation, coma, seizures, spastic paralysis and ultimately death."
Lassa fever,Virus,Lassa Virus,0,"Normal, Brutal",rodent contamination,2,21,rodents,rodents,all,"About 80% of people who become infected with Lassa virus have no symptoms. 1 in 5 infections result in severe disease, where the virus affects several organs such as the liver, spleen and kidneys."
Legionellosis,Bacteria,bacterium L. pneumophila,0,"Normal, Brutal","contaminated water, water bodies",2,10,"river, water bodies",water bodies,all," Non-Pneumonic form: fever, chills, headache, malaise and muscle pain (myalgia). Pneumonic form: fever, loss of appetite, headache, malaise and lethargy, May also have muscle pain, diarrhoea and confusion, mild cough, blood-streaked phlegm or hemoptysis"
Leishmaniasis,Parasite,protozoan Leishmania,0,Brutal,sandflies bite,14,60,sandflies,sandflies,all,"irregular bouts of fever, weight loss, enlargement of the spleen and liver, and anaemia, skin lesions, mainly ulcers, on exposed parts of the body, leaving life-long scars and serious disability or stigma, partial or total destruction of mucous membranes of the nose, mouth and throat"
Leptospirosis,Bacteria,Leptospirosis,1,Normal,urine of infected animals,2,30,Dogs,soil,all,"High fever,Headache,Chills,Muscle aches,Vomiting,Jaundice,Red eyes,Abdominal pain,Diarrhea,Rash"
Listeriosis,Bacteria,bacterium Listeria monocytogenes.,0,Brutal,contaminated food,1,30,"raw meat, smoked fish",raw meats,all,"fever and diarrhea similar to other foodborne germs. Pregnant women typically experience only fever and other flu-like symptoms, such as fatigue and muscle aches. However, infections during pregnancy can lead to miscarriage, stillbirth, premature delivery, or life-threatening infection of the newborn. People other than pregnant women: Symptoms can include headache, stiff neck, confusion, loss of balance, and convulsions in addition to fever and muscle aches."
Louseborne typhus,Parasite,Rickettsia prowazekii.,0,Brutal,human body louse,7,14,human body louse,human body louse,all,"Onset is variable but often sudden, with headache, chills, high fever, prostration, coughing and severe muscular pain. After 5–6 days, a macular skin eruption (dark spots) develops first on the upper trunk and spreads to the rest of the body but usually not to the face, palms of the hands or soles of the feet. The case–fatality rate is up to 40% in the absence of specific treatment. Louse-borne typhus fever is the only rickettsial disease that can cause explosive epidemics."
Malaria,Parasite,Plasmodium ,1,Brutal,mosquito bite,10,15,mosquito,mosquito,all,"Malaria is an acute febrile illness. In a non-immune individual, symptoms usually appear 10–15 days after the infective mosquito bite. The first symptoms – fever, headache, and chills – may be mild and difficult to recognize as malaria. If not treated within 24 hours, P. falciparum malaria can progress to severe illness, often leading to death."
Marburg haemorrhagic fever,Virus,Marburg virus,0,Normal,"person to person blood bodily fluids, contact with surfaces contaminated by infected bats",2,21,"bats, human",bats,all,"high fever, severe headache and severe malaise. Muscle aches and pains are a common feature. Severe watery diarrhoea, abdominal pain and cramping, nausea and vomiting can begin on the third day. Diarrhoea can persist for a week"
Measles,Virus,paramyxovirus family,1,Normal,"person to person blood bodily fluids, person to person cough sneeze aerosol",4,12,human,human,all,"high fever, which begins about 10 to 12 days after exposure to the virus, and lasts 4 to 7 days. A runny nose, a cough, red and watery eyes, and small white spots inside the cheeks can develop in the initial stage. After several days, a rash erupts, usually on the face and upper neck. Over about 3 days, the rash spreads, eventually reaching the hands and feet. The rash lasts for 5 to 6 days, and then fades. On average, the rash occurs 14 days after exposure to the virus"
Meningococcal disease,Bacteria,Neisseria meningitidis,1,"Normal, Brutal",person to person cough sneeze aerosol,2,10,human,human,"all, children","stiff neck, high fever, sensitivity to light, confusion, headaches and vomiting. In addition in infants bulging fontanelle and ragdoll appearance are commonly found. A less common but even more severe (often fatal) form of meningococcal disease is meningococcal septicaemia, which is characterized by a haemorrhagic rash and rapid circulatory collapse"
MERS-CoV,Virus,MERS Corona Virus (MERS CoV),0,"Normal, Brutal",camels to humans,5,10,camel,zootonic,all,ranges from no symptoms (asymptomatic) or mild respiratory symptoms to severe acute respiratory disease and death.
Myocarditis,"Virus, Bacteria",Myocarditis,0,"Normal, Brutal",viral infection,nan,nan,nan,nan,all,"Chest pain,arrhythmias,Shortness of breath,Fatigue"
Microcephaly,Virus,Microcephaly,0,"Normal, Brutal","mosquito bite, others",nan,nan,mosquito,zootonic,children,"impaired cognitive development,facial distortions,dwarfism or short stature,hyperactivity"
Monkeypox,Virus,Monkeypox,0,Normal,animal to human,5,15,mammals,zootonic,all,"fever, intense headache, lymphadenopathy (swelling of the lymph nodes), back pain, myalgia (muscle aches) and an intense asthenia (lack of energy). Lymphadenopathy is a distinctive feature of monkeypox compared to other diseases that may initially appear similar (chickenpox, measles, smallpox)"
Nipah virus,Virus,Nipah Virus,0,Normal,"person to person blood bodily fluids, person to person cough sneeze aerosol, contact with equipment used in patient care",4,14,"pigs, livestock",zootonic,all,"asymptomatic infection to acute respiratory infection, and fatal encephalitis. Infected people initially develop symptoms including fever, headaches, myalgia, vomiting and sore throat. This can be followed by dizziness, drowsiness, altered consciousness, and neurological signs that indicate acute encephalitis. Some people can also experience atypical pneumonia and severe respiratory problems, including acute respiratory distress."
COVID-19,Virus,2019-nCoV,0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids",7,14,non confirmed,zootonic,all,"respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death."
O'nyong'nyong Fever,Virus,O'nyong'nyong,0,Normal,mosquito bite,8,16,mosquito,mosquito,all,"polyarthritis, rash and fever. Other symptoms include eye pain, chest pain, lymphadenitis and lethargy. The disease is self-limiting."
Oropouche virus disease,Virus,Oropouche,0,Normal,midge bite,3,12,midges,midges,all,"sudden onset of high fever, headache, myalgia, joint pain, and vomiting. In some patients it can cause clinical symptoms of aseptic meningitis."
Pertussis,Bacteria,bacterium Bordetella pertussis,1,Brutal,person to person cough sneeze aerosol,7,10,human,human,children,"uncontrollable, violent coughing which often makes it hard to breathe. After cough fits, someone with pertussis often needs to take deep breaths, which result in a “whooping” sound"
Plague,Bacteria,Yersinia pestis,0,Brutal,"person to person cough sneeze aerosol, bite of infected fleas",2,6,"fleas, small mammals","fleas, small mammals",all,Bubonic plague is the most common form and is characterized by painful swollen lymph nodes or 'buboes'
Polio,Virus,Polio,1,Brutal,person to person,7,21,human,human,children,"invades the nervous system, and can cause total paralysis in a matter of hours"
Rabies,Virus,Rabies,1,Brutal,dog bite,60,90,dogs,dogs,all,"include a fever with pain and unusual or unexplained tingling, pricking, or burning sensation (paraesthesia) at the wound site. As the virus spreads to the central nervous system, progressive and fatal inflammation of the brain and spinal cord develops."
Relapsing fever,Bacteria,Borrelia,0,Normal,tick bite,3,11,"ticks, livestock",zootonic,all,"recurring bouts of fever, headache, muscle and joint aches, and nausea"
Rift Valley fever,Virus,Phlebovirus,0,"Normal, Brutal",mosquito bite,2,6,mosquito,zootonic,all,"fever, headache, muscle pains, and liver abnormalities"
Saint Louis encephalitis,Virus,Saint Louis encephalitis,0,Brutal,mosquito bite,5,15,"mosquito, birds",birds,all,"fever, headache, nausea, vomiting, and tiredness"
Salmonellosis,Bacteria,Salmonella,0,"Normal, Brutal","contaminated food, animal to person",1,3,livestock,zootonic,all,"diarrhea, fever, and stomach cramps."
Seoul virus,Virus,Seoul Virus,0,Normal,rodent contamination,5,42,rodents,rodents,all,"fatigue, fever and muscle aches, especially in the large muscle groups—thighs, hips, back, and sometimes shoulders"
SARS,Virus,SARs,0,"Normal, Brutal",person to person cough sneeze aerosol,2,7,"animal, livestock",zootonic,all,"high fever (temperature greater than 100.4°F [>38.0°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia."
Shigellosis,Bacteria,shigella,0,Normal,"contaminated food, contaminated water, person to person stools of infected person",1,3,livestock,livestock,all,"Diarrhea (often containing blood or mucus), Abdominal pain or cramps, Fever "
Staphylococcal food intoxication,Bacteria,bacterium Staphylococcus aureus (Staph),0,Normal,"contaminated food, contaminated water",1,2,livestock,livestock,all,"sudden start of nausea, vomiting, and stomach cramps. Most people also have diarrhea."
Tularaemia,Bacteria,Francisella tularensis,0,Normal,animal to human,2,10,"ticks, livestock",zootonic,all,"ulcer at the bite site with painful and swollen draining lymph glands (usually if exposed through the skin),  painful throat, painful and swollen lymph glands in the neck, nausea, vomiting, diarrhoea, and abdominal pain, painful conjunctivitis"
Typhoid fever,Bacteria,"Salmonella serotype Typhi, Salmonella serotype Paratyphi",0,Brutal,person to person cough sneeze aerosol,8,14,human,zootonic,all,"high fevers, weakness, stomach pains, headache, and loss of appetite. Some patients have constipation, and some have a rash.  Internal bleeding and death can occur but are rare."
Vector-borne diseases,Virus,"varies, bacteria, virus, parasites",0,Normal,"mosquito bite, tick bite",2,16,"ticks, mosquito",zootonic,all,"Chikungunya, Dengue fever,  Lymphatic filariasis, Rift Valley fever, Yellow fever, Zika "
Viral haemorrhagic fever,Virus,Various,0,"Normal, Brutal",mosquito bite,2,6,mosquito,zootonic,all,"fever, headache, muscle pains, and liver abnormalities"
West Nile,Virus,flavivirus genus,0,"Normal, Brutal",mosquito bite,2,14,mosquito,zootonic,all,"fever, headache, tiredness, and body aches, nausea, vomiting, occasionally with a skin rash (on the trunk of the body) and swollen lymph glands."
Yellow fever,Virus,arbovirus of the flavivirus genus,0,Normal,mosquito bite,3,5,mosquito,zootonic,all,"fever, muscle pain with prominent backache, headache, loss of appetite, and nausea or vomiting.  High fever returns and several body systems are affected, usually the liver and the kidneys. In this phase people are likely to develop jaundice (yellowing of the skin and eyes, hence the name ‘yellow fever’), dark urine and abdominal pain with vomiting."
Zika virus infection,Virus,"Zika Virus, flavivirus genus",0,"Normal, Brutal","mosquito bite, person to person sexual contact, person to person blood bodily fluids",3,14,mosquito,zootonic,all,"fever, rash, conjunctivitis, muscle and joint pain, malaise, and headache, usually lasts for 2–7 days. Zika virus infection during pregnancy is a cause of microcephaly and other congenital abnormalities in the developing fetus and newborn. Zika infection in pregnancy also results in pregnancy complications such as fetal loss, stillbirth, and preterm birth. Zika virus infection is also a trigger of Guillain-Barré syndrome, neuropathy and myelitis, particularly in adults and older children. "
